#{"t_start": 1779567630.2531173, "env_id": "LunarLander-v3"}
r,l,t
-159.421472,62,0.049542
-158.928107,94,0.095646
-204.395279,123,0.151349
-128.520196,113,0.21268
-330.692104,116,0.271046
-191.689619,63,0.302057
-114.324408,72,0.340588
-244.811112,117,0.401676
-200.931547,72,0.436194
-74.734548,65,0.473565
-114.549788,87,0.51946
-109.927754,88,0.791729
-210.358678,123,0.849977
-74.991611,114,0.907846
-79.81731,70,0.943928
-104.907906,79,0.983938
-141.788471,93,1.034002
-273.322549,94,1.077461
-404.170254,114,1.137711
-64.892292,69,1.170861
-163.523071,104,1.228283
-200.51409,71,1.263568
-352.79578,114,1.582856
-184.647875,81,1.647977
-221.882808,79,1.693784
-241.057076,119,1.75926
-380.441478,127,1.817438
-254.264069,129,1.878203
-387.825664,88,1.919539
-289.100651,99,1.96956
-101.743222,100,2.016856
-145.622797,86,2.057896
-68.931185,60,2.323622
-49.052898,67,2.356058
-340.615363,96,2.398753
-313.276646,119,2.459673
-164.927489,94,2.51139
-166.254532,85,2.551759
-171.215204,72,2.58751
-97.241247,84,2.627854
-91.114916,69,2.660758
-305.692816,81,2.697135
-343.503034,108,2.749852
-70.433462,60,2.780551
-98.384173,102,3.051764
-226.02021,88,3.093337
-190.714315,70,3.129436
-99.660647,94,3.176265
-225.953406,73,3.215302
-399.474795,108,3.266264
-322.556371,143,3.334839
-89.817511,78,3.379955
-103.676055,93,3.427105
-322.567063,149,3.497854
-275.380771,99,3.544673
-67.212102,95,3.830317
-67.497694,66,3.862579
-212.982406,72,3.89479
-40.090911,63,3.930174
-382.739588,83,3.971026
-156.170697,104,4.020243
-321.745159,77,4.061924
-50.158096,70,4.097708
-117.032558,62,4.127783
-250.141559,122,4.183762
-104.975708,99,4.233796
-100.687867,67,4.266465
-69.860259,86,4.531857
-131.328917,93,4.576369
-145.223734,65,4.610144
-82.705871,98,4.654752
-121.75534,76,4.690566
-91.494613,73,4.725347
-85.51963,94,4.767993
-281.42463,141,4.835949
-63.371705,110,4.884057
-135.611093,79,4.924066
-127.279701,110,4.974376
-110.218791,87,5.237986
-96.21925,69,5.268925
-110.011621,80,5.307595
-56.19318,62,5.335382
-146.711628,89,5.376342
-89.137996,72,5.408818
-193.982728,125,5.467863
-221.925963,89,5.509863
-120.709634,96,5.557258
-73.233969,70,5.58817
-229.866152,77,5.629369
-242.862828,83,5.671683
-93.536921,91,5.942912
-89.933279,61,5.971261
-160.224513,77,6.008369
-121.801489,86,6.054379
-150.378632,95,6.099308
-120.248313,67,6.131155
-125.696897,78,6.170527
-61.293219,136,6.236553
-87.622127,97,6.280926
-138.177747,82,6.318283
-85.436637,64,6.34816
-137.419206,99,6.400743
-223.738689,74,6.667161
-93.702083,70,6.700531
-124.81646,91,6.745312
-311.573827,148,6.817806
-119.076371,77,6.855751
-168.133167,97,6.899941
-116.038657,76,6.939517
-128.364759,101,6.992832
-187.142531,82,7.036954
-126.06982,84,7.079965
-168.94016,76,7.121679
-70.921449,62,7.151454
-345.00314,138,7.436008
-114.924124,108,7.489964
-348.431824,130,7.555941
-119.64415,87,7.597355
-135.717267,121,7.65853
-92.439024,68,7.691521
-101.729621,87,7.734448
-136.056544,125,7.794421
-132.489462,64,7.825333
-236.947719,105,7.881543
-100.853748,100,8.144142
-117.528269,89,8.192018
-88.433456,95,8.235508
-95.356782,65,8.268015
-106.982309,116,8.322132
-72.036937,129,8.384989
-96.609798,84,8.431094
-122.763983,90,8.47388
-74.937526,71,8.50512
-175.763328,131,8.56883
-106.96532,99,8.846235
-58.449526,86,8.889321
-109.358896,79,8.928853
-186.335111,126,8.989186
-68.741657,58,9.018959
-133.909197,101,9.063617
-129.634864,99,9.118671
-224.769608,94,9.178332
-52.614951,75,9.215386
-80.689431,75,9.25138
-52.609318,83,9.292382
-142.916028,77,9.329204
-103.71366,97,9.596039
-134.672544,130,9.654348
-117.317903,79,9.690442
-62.925443,127,9.752165
-76.985482,96,9.796772
-90.291394,111,9.849933
-157.969146,128,9.915531
-74.925197,84,9.955981
-79.94991,87,9.995531
-107.831873,106,10.043691
-123.722494,68,10.294359
-96.247164,64,10.329193
-82.97243,73,10.368029
