#{"t_start": 1779570140.3988485, "env_id": "LunarLander-v3"}
r,l,t
-168.40013,74,0.295833
-260.22286,91,0.676824
-94.52207,60,0.984626
-132.292827,77,1.367216
-214.677091,106,1.896588
-150.642807,93,2.307057
-74.797535,84,2.66135
-137.368657,81,2.998709
-298.030219,91,3.372415
-349.104245,79,3.679774
-92.959603,102,4.143761
-54.527792,68,4.525458
-217.125729,71,8.747436
-110.779226,90,9.192661
-100.279467,121,9.816041
-279.032003,129,10.584802
-237.799144,111,11.213202
-149.660889,76,11.681404
-328.413409,114,12.299477
-207.273505,90,12.743336
-106.763834,104,13.19707
-94.471063,87,13.605591
-97.122293,93,17.657
-63.442397,77,17.924482
-113.484935,118,18.35879
-76.404549,93,18.688184
-81.422744,76,18.965914
-133.078452,114,19.36707
-262.42374,92,19.73187
-116.53675,82,20.086284
-101.019304,75,20.349598
-74.193619,67,20.588646
-101.880624,78,20.87013
-61.926472,119,25.02043
-33.613049,70,25.368952
-174.784763,126,26.038958
-167.301731,139,26.530286
-157.994851,133,27.032473
-118.804003,88,27.361172
-99.723951,86,27.674491
-124.862966,80,27.989993
-152.90916,94,28.330347
-52.498892,120,28.969289
-96.940973,75,29.283849
-96.617271,70,34.208471
-43.588983,75,34.603739
-90.31011,75,34.952281
-86.088576,77,35.339158
-76.093008,80,35.73284
-47.144319,67,36.049381
-106.329562,81,36.463971
-102.833138,90,36.907175
-111.351152,104,37.424059
-58.828481,115,38.020881
-139.258441,114,39.246513
-25.250454,107,43.398358
-100.100067,113,43.80586
-30.462276,125,44.329025
-39.858934,120,44.823565
-48.895559,120,45.256126
-51.634459,107,45.630785
-97.197087,92,45.949024
-91.063705,105,46.35435
-40.588833,129,46.9171
-77.175943,88,50.590192
-62.390183,157,51.164982
-102.555066,117,51.601459
-13.798886,74,51.940911
-1.306524,129,52.43907
-46.496759,87,52.780861
-48.935031,122,53.260664
-29.471013,80,53.577534
-42.459771,134,54.199434
-41.401344,94,54.699425
-59.95665,85,58.712925
-43.240638,90,59.031713
-95.194738,93,59.384972
-69.302305,95,59.770834
-42.302472,87,60.130379
-68.992446,116,60.635332
-68.767746,109,61.116782
-33.133202,79,61.479213
-32.493429,116,62.018657
5.841207,83,62.39738
-57.988502,125,66.725567
-32.913811,107,67.377911
10.579173,117,67.886284
-22.164128,88,68.245237
-9.241809,74,68.521888
-34.227719,111,68.989129
-52.294577,103,69.540576
-51.895554,107,70.056649
-37.772919,102,70.433455
-22.460379,97,70.795337
13.314786,123,74.886596
-16.800558,111,75.504693
-28.726564,129,76.094064
3.699157,135,76.6625
-36.645657,95,77.140945
46.275999,158,78.104824
35.824894,127,80.017428
-63.241436,131,80.864508
-6.646599,138,85.163955
-19.189783,137,85.994574
14.042979,135,86.756998
-23.872578,133,87.594956
-5.790508,139,88.629846
-9.993247,1000,106.922348
-19.6177,135,108.811946
-3.338688,120,110.846643
2.731703,157,113.617451
-119.2505,202,120.715123
7.836954,1000,140.695741
-10.161037,118,142.970868
46.593811,154,145.553505
-47.987391,172,148.473341
-187.036392,312,154.184581
43.818485,1000,179.18499
-3.490697,161,181.865994
122.189888,1000,205.961996
89.118375,1000,230.844739
90.591395,1000,254.34104
95.301465,1000,278.287724
139.084248,1000,302.709404
14.759455,262,312.124351
127.666178,1000,337.70127
126.414888,1000,360.2033
52.693889,264,365.31526
158.872356,1000,388.11656
113.51585,1000,409.699433
5.957177,232,414.924012
147.237561,1000,435.396621
118.937307,1000,456.183129
128.69447,1000,477.330252
114.036006,1000,500.102085
119.909069,1000,522.317268
98.282223,1000,543.188422
144.44402,1000,563.203977
125.55139,1000,583.177862
155.27048,1000,602.69716
144.949404,1000,624.555036
123.877663,1000,643.684882
269.574848,887,660.554209
291.79539,515,667.789558
163.580703,1000,685.495905
253.236216,412,695.490188
161.741867,1000,706.866989
44.273465,231,714.310192
274.549304,427,718.193039
295.964109,315,720.815229
257.555812,266,726.965341
278.975352,267,729.326084
260.642196,259,731.389582
288.205479,257,733.838349
28.465176,207,739.996855
272.161787,308,742.625968
273.313864,301,745.002233
267.440896,301,751.890738
256.08503,324,754.600854
275.712634,303,756.789739
264.604862,291,759.182817
292.397677,298,766.171285
280.409675,273,768.538569
275.377474,279,771.384376
250.483853,324,778.869615
278.219266,310,781.532135
299.540146,330,784.306957
237.217643,501,793.506739
47.713307,196,795.538104
130.807153,1000,807.9805
292.387284,309,810.440564
226.303686,310,812.977353
272.010237,335,820.160605
307.751199,274,822.516065
285.538556,451,831.155432
259.038034,278,833.217605
299.723807,247,835.346954
262.504949,390,839.362659
244.862494,299,845.546398
256.419859,282,848.123992
287.925267,368,851.606035
284.164394,309,858.324675
287.236027,283,860.583343
294.270451,291,862.970696
275.168113,256,864.873855
290.429729,278,871.378559
228.678106,301,873.847206
260.965481,263,875.765461
275.34383,246,881.523014
244.167432,266,883.492405
296.546447,250,885.755485
272.134906,278,887.863984
305.324714,301,894.262979
278.97828,323,896.356169
278.446211,296,898.509719
309.789135,276,901.134297
278.494837,246,906.92607
300.024392,285,909.891957
246.783172,250,911.567225
295.536115,258,913.441409
265.354841,221,919.430682
254.522562,579,923.775975
290.555657,209,925.232391
273.410498,272,931.367867
246.633934,251,933.102643
312.365929,277,934.927845
303.157131,249,936.558692
242.965991,249,942.273453
291.124434,244,944.040494
306.476456,277,945.973328
274.078124,269,947.851607
299.436199,380,954.276532
270.385205,263,956.780047
288.951221,293,959.054005
267.375537,240,964.50763
248.221683,265,966.137655
274.821884,474,969.698207
262.783678,236,976.522575
248.872264,223,978.318407
290.933404,254,980.344564
287.995885,257,982.216866
95.068183,165,983.377438
268.079697,236,989.185907
274.728296,220,990.399383
292.795907,302,992.513377
243.509548,258,994.181085
