#{"t_start": 1779570140.3965046, "env_id": "LunarLander-v3"}
r,l,t
10.192505,81,0.335144
-172.924133,92,0.720334
-77.767934,71,1.079608
-382.117346,91,1.534199
-101.786368,80,1.934644
-85.114056,68,2.224307
-73.006238,70,2.527452
-186.231874,61,2.791266
-86.942322,63,3.051215
-68.82276,69,3.33533
-57.387856,64,3.584371
-111.504381,71,3.849376
-233.610806,118,4.489701
-272.420594,71,8.714306
-120.06516,65,9.040238
-112.189098,138,9.751758
-88.476171,83,10.170465
-88.597874,81,10.702198
-118.511809,83,11.164252
-89.778302,90,11.721962
-304.486508,91,12.215809
-199.763217,57,12.52081
-47.527651,76,12.858843
-124.65684,109,13.331283
-186.703955,126,17.574163
-92.478907,103,17.937708
-74.285744,73,18.197516
-98.274408,117,18.62498
-96.838783,72,18.890707
-117.478002,87,19.196643
-127.51029,87,19.518515
-80.574099,118,20.025487
-100.037644,93,20.350702
-120.779257,104,20.727162
-152.909399,79,21.009164
-105.268629,91,25.07598
-70.811364,147,25.847228
-130.165345,116,26.311349
-81.238888,68,26.554323
-56.320257,107,26.959114
-196.500605,95,27.313962
-91.488728,86,27.630869
-56.764005,108,28.045949
-75.013023,65,28.273155
-79.699086,112,28.865133
-72.04717,99,29.294273
-129.774626,105,34.407439
-93.145916,89,34.86293
-97.405711,95,35.300623
-44.872721,74,35.66059
-103.916427,72,36.020121
-78.436383,87,36.460219
-98.354788,122,37.04699
-69.688005,67,37.388394
-100.641725,100,37.916395
-54.391213,107,39.112003
-76.32224,76,39.459657
-84.216717,86,43.499004
-74.167338,109,43.896958
-114.388265,85,44.261081
-37.018297,79,44.593314
-85.20264,90,44.941765
-81.586216,95,45.283567
-50.450387,100,45.631493
-131.83577,99,45.977902
-101.675061,93,46.329283
-109.427983,96,46.740233
-43.490489,96,47.14208
-62.667633,108,50.869848
-33.232983,110,51.281044
-27.641211,79,51.578635
-19.523398,106,52.046736
-85.907032,108,52.457443
-88.010911,133,52.961232
-67.475784,88,53.322611
-33.277533,75,53.629236
0.726011,119,54.180964
-88.577547,77,54.583251
-20.56435,103,58.703872
-64.766934,108,59.085981
-42.044513,104,59.495265
-26.312341,118,59.974456
14.594353,103,60.412229
-35.869932,86,60.801099
-18.199337,112,61.298812
-72.432505,103,61.766637
-55.597134,141,62.418416
-44.908791,109,66.645037
31.694493,96,67.250493
-37.576559,107,67.744935
-48.370378,101,68.152023
-48.391024,98,68.539347
-43.986966,70,68.833334
-49.830022,112,69.384979
23.351783,91,69.877637
-11.610048,89,70.223182
-13.860849,136,70.730538
14.827207,142,74.89543
-10.493152,107,75.48812
-45.903525,145,76.153824
-79.074409,78,76.472738
-59.528244,99,76.936275
-2.480667,108,77.547914
-58.59156,92,78.119941
12.145427,125,80.018499
21.605705,143,80.936052
-36.521175,111,85.069545
8.250285,122,85.860268
-183.797494,343,87.950492
56.438073,110,88.741904
-37.659106,136,89.828073
-3.400776,117,91.04985
10.88848,129,92.660878
3.771352,1000,113.358084
27.770943,165,119.76856
26.725356,138,122.374405
-102.871994,341,127.56353
23.330752,1000,148.204849
-18.610314,198,151.623815
39.358142,1000,176.690209
51.582218,1000,200.629406
5.251378,208,204.525819
-21.8133,193,212.926022
143.208053,1000,236.739466
-259.004106,308,242.334474
48.525772,1000,267.181971
153.152837,1000,290.22238
96.855805,1000,315.007322
83.377413,1000,340.740654
123.703377,1000,363.273912
-30.371687,244,368.108916
94.363258,1000,390.374336
90.727636,1000,413.311286
85.171917,1000,433.654983
112.181937,1000,454.635006
129.398054,1000,475.600339
174.497715,1000,498.119393
