#{"t_start": 1779570140.3936117, "env_id": "LunarLander-v3"}
r,l,t
-166.793702,120,0.486942
-241.934987,103,0.976906
-105.0652,90,1.426012
-189.749811,71,1.776693
-149.464071,116,2.304581
-383.530988,86,2.670275
-87.698734,68,2.954032
-95.826829,110,3.401946
-81.014696,68,3.665371
-221.974223,88,4.027316
-283.475806,109,8.551044
-244.15014,96,8.991365
-313.60143,87,9.430667
-70.44049,90,9.890782
-121.583557,79,10.33921
-235.410644,95,10.918456
-79.284012,126,11.672328
-43.272044,71,12.081686
-202.467439,121,12.699733
-99.742138,112,13.169131
-276.365965,87,13.585063
-101.136018,118,17.723494
-174.86107,101,18.085528
-95.03137,93,18.424812
-110.803198,103,18.803065
-109.860651,83,19.092347
-270.359067,111,19.495105
-110.122919,84,19.829637
-128.924292,108,20.268702
-118.19652,112,20.665585
-129.165185,98,21.020075
-113.722508,107,25.161687
-146.724096,131,25.859873
-76.478698,65,26.150347
-77.533351,93,26.461998
-101.861979,105,26.856888
-44.055506,71,27.131788
-135.214504,77,27.417979
-50.788354,111,27.833752
-78.706501,97,28.189449
-180.528029,102,28.649036
-125.086077,94,29.144769
-83.852266,71,34.023093
-74.138149,76,34.427401
-121.302468,98,34.911749
-93.717115,99,35.396625
-67.179966,91,35.840021
-110.459033,104,36.343062
-100.959191,91,36.804751
-115.816417,86,37.207953
-114.94202,119,37.844256
-56.075706,64,38.178398
-95.292312,102,39.328695
-100.730188,111,43.473181
-31.805013,73,43.726862
-47.295737,74,44.039183
-51.191948,71,44.332119
-18.201251,132,44.874783
-59.231469,71,45.121956
-92.838452,75,45.381523
-105.961217,92,45.710576
-25.789633,141,46.22105
-68.064379,64,46.480877
-101.193386,108,46.959183
-46.08291,83,50.612422
-27.089152,119,51.045003
-49.470433,118,51.481784
-18.891977,130,52.04435
-49.89298,74,52.326084
-46.93528,93,52.672436
-22.197326,137,53.223618
-38.165295,103,53.63906
-28.679287,129,54.242294
-72.092441,100,54.77505
-0.748802,93,58.798355
-48.154923,106,59.172414
-71.276152,112,59.622944
-44.993167,126,60.139933
-2.734645,134,60.728458
-26.671932,105,61.196874
-54.977844,86,61.578695
-17.714498,90,62.004437
-2.54154,98,62.452659
-60.679017,77,62.829617
4.67824,132,67.314083
-20.230131,128,67.884878
-23.596069,112,68.337801
11.058103,106,68.762923
-45.795016,117,69.291368
-35.892935,131,69.987576
-37.869294,107,70.390209
-1.191482,140,70.917827
39.070723,119,75.035813
-66.251623,129,75.735993
13.209777,161,76.411883
-18.059587,124,76.990708
-0.468702,104,77.586301
-65.848102,126,78.356427
-23.780418,139,80.337238
-1.377,114,81.080067
-22.811264,159,85.535155
-13.262459,93,86.060604
34.052297,106,86.663323
6.454769,119,87.41491
32.129874,165,88.611507
-6.482369,159,89.861543
-64.655795,114,91.064813
28.25806,152,93.012825
15.940274,128,98.978339
51.266942,1000,119.55359
-46.641036,145,122.279019
44.629962,137,124.548491
95.248612,1000,144.803293
61.760766,1000,167.315855
118.010071,1000,192.679462
32.643388,241,197.115824
-9.381506,211,201.463289
79.981275,1000,226.08711
115.756466,1000,249.052369
63.021982,1000,273.627564
119.385259,1000,297.666633
4.08155,251,302.780543
150.521696,542,317.323922
111.253796,1000,343.259119
116.168029,1000,365.784009
134.208721,1000,388.433022
130.960593,1000,410.116255
206.41629,514,419.652488
119.482659,1000,440.760459
95.196326,1000,461.518975
150.552922,1000,482.68649
121.5244,1000,505.982841
41.506087,265,510.790975
149.365719,1000,532.165065
137.315408,1000,552.729732
113.841782,1000,572.630069
169.737082,1000,592.45933
130.239502,1000,612.384485
123.582644,1000,633.937224
138.166941,1000,652.197715
259.537249,866,668.212795
255.781905,483,679.279776
256.8075,288,682.77848
259.874947,484,688.833479
263.9709,765,702.733277
236.251885,484,713.269919
292.031864,331,716.172302
262.076659,562,721.205502
270.408492,280,727.604949
284.617675,261,729.800331
284.458083,287,732.082547
261.385775,344,739.685447
264.180314,338,742.529868
272.871771,254,744.461328
270.025777,233,746.840624
279.089448,295,753.382928
282.311082,267,755.375152
263.583532,305,757.72806
294.3044,295,764.571369
298.840492,322,767.447316
280.429685,256,769.858644
290.822448,294,772.441425
271.224047,297,780.035408
45.23402,242,781.888377
295.761039,309,784.500219
267.559629,257,786.579639
279.264927,265,794.033686
256.505793,256,796.557112
307.059962,303,799.155748
269.008172,338,805.748195
252.953242,284,808.328753
266.251531,297,810.590886
260.179004,340,817.520638
252.736907,272,819.978599
248.853697,299,822.606543
268.580848,325,825.407648
285.318621,306,832.515771
259.075643,253,834.654237
270.659768,291,837.121827
254.371761,255,839.828031
304.872295,271,845.938706
277.269681,438,850.120669
301.158062,281,852.715479
263.603542,299,859.143125
311.884956,282,861.462504
282.521196,260,863.484142
265.837238,281,869.893635
256.919628,257,871.93505
256.931276,255,874.100171
230.959666,265,875.964405
278.478467,251,881.775275
