#{"t_start": 1779570140.3870058, "env_id": "LunarLander-v3"}
r,l,t
-201.751223,100,0.420888
-81.614601,77,0.74909
-128.811208,92,1.213519
-224.068696,102,1.718374
-126.85761,74,2.083858
-343.334979,92,2.476004
-108.628496,73,2.780411
-244.363126,92,3.167386
-86.429896,78,3.470972
-107.771909,86,3.794718
-369.405081,93,4.274576
-108.970206,118,8.756483
-311.751519,66,9.092826
-117.615085,102,9.614894
-109.988669,64,9.927455
-134.867097,98,10.523734
-285.116818,90,11.03861
2.405062,61,11.404287
-110.98657,112,12.069943
-222.056028,79,12.480702
-117.038908,93,12.904639
-28.69839,97,13.321698
-267.050299,94,13.736454
-98.165343,82,17.743869
-110.397215,71,17.998635
-161.047218,97,18.351987
-28.633919,89,18.669028
-88.16181,98,19.025667
-78.100568,77,19.300079
-92.387684,59,19.516213
-95.330176,74,19.81408
-76.58203,72,20.126932
-103.66525,68,20.363629
-144.475125,79,20.645388
-138.369763,82,20.934757
-104.632776,73,21.221726
-93.24869,64,25.202155
-142.349749,128,25.888032
-106.137477,93,26.264432
-52.439662,66,26.487998
-99.651471,129,26.97957
-72.722261,99,27.348126
-16.343496,116,27.779538
-108.901522,72,28.058204
-78.348946,66,28.290083
-120.18764,74,28.638061
-115.81471,78,29.06742
-99.388163,91,34.039802
-97.613805,72,34.421114
-37.387804,117,34.980789
-84.550041,81,35.398486
-94.414941,96,35.866193
-109.542992,85,36.263821
-118.6888,126,36.905845
-87.266847,99,37.385211
-65.870826,108,37.959179
-103.019899,83,38.365287
-65.67945,57,39.317177
-86.710762,69,43.319915
-57.167133,73,43.578247
-101.679636,113,44.01373
-88.197328,84,44.361473
-52.255018,114,44.832356
-53.647277,113,45.239788
-76.333393,120,45.662375
-85.103113,90,45.973193
-71.099897,113,46.412764
-65.355121,81,46.761085
-67.072558,81,47.093463
-82.047635,80,50.73238
-46.224358,85,51.041878
-81.3967,82,51.346383
-38.638305,131,51.890547
-52.189077,119,52.363487
-25.372936,79,52.650934
-48.372764,76,52.952461
-75.745809,118,53.433984
-70.594056,107,53.885808
-50.815325,81,54.281768
-67.764605,98,54.808948
-27.340534,122,58.934434
44.128639,1000,67.137028
-20.800549,111,67.681692
-29.120484,105,68.10693
-4.583161,98,68.500129
-10.141033,108,68.951525
-55.241704,86,69.381083
-58.885386,98,69.909828
-39.824998,99,70.290272
-60.914895,102,70.674055
-11.314012,85,70.992778
-19.86217,141,75.252845
24.027972,103,75.807583
32.485645,89,76.184397
17.217711,129,76.727401
41.76939,161,77.6213
42.234164,123,78.373944
33.746893,162,80.520698
-44.181405,122,81.309956
-13.975971,192,85.948285
-23.809974,128,86.630991
8.613381,147,87.566488
3.384682,116,88.422211
-221.416504,662,100.672862
16.390984,1000,121.071599
43.119491,171,124.136354
5.119907,236,127.540523
42.978755,125,129.173482
-6.064098,153,131.360406
79.948565,1000,153.133625
131.780594,1000,178.29511
-3.907184,189,181.399687
-69.515847,153,189.281759
87.762119,1000,213.314801
-4.021728,196,217.122106
130.025702,1000,240.61229
46.061291,1000,265.197884
104.787212,1000,288.675377
82.7669,1000,313.397253
129.781234,1000,339.002101
91.076955,1000,361.368789
126.33601,1000,384.418907
114.912045,1000,405.524684
120.857308,1000,427.676517
123.724337,1000,448.774115
123.763192,1000,469.785907
97.39644,1000,492.292326
119.898865,1000,510.790381
143.036599,1000,532.166108
110.178409,1000,552.731492
157.52788,1000,572.631938
146.778014,1000,592.458489
149.907288,1000,612.384357
161.426886,1000,633.939122
64.306878,241,640.763004
121.173867,1000,659.543652
220.707322,308,663.739815
271.920465,878,680.227919
256.691571,783,690.043888
246.828349,407,699.64543
245.012134,562,706.295108
278.707531,402,715.126069
2.267248,235,717.418388
249.089618,342,720.275096
281.083103,377,727.527432
234.524711,265,729.768333
258.734145,280,731.989246
233.658344,305,739.242209
262.680749,381,742.469054
262.461635,233,744.203426
275.222791,257,746.806953
255.169839,321,753.566046
250.890069,315,755.90115
263.830306,324,758.486425
248.243397,274,765.222227
272.946017,284,767.692912
259.099216,394,771.5081
266.435574,300,778.759765
251.496875,292,781.329161
275.137431,303,783.818094
107.771949,1000,797.948441
290.264443,269,800.070179
281.162452,274,806.091484
269.689404,271,808.69471
313.731836,285,810.742686
292.977275,357,817.803344
270.542773,270,820.399969
271.502941,300,822.891409
289.204839,499,831.843235
45.406238,207,833.421874
265.658494,259,835.666572
241.267821,272,838.051389
297.594654,227,844.378128
301.705839,310,846.985794
237.012258,253,849.321257
266.50858,348,852.640998
286.069106,266,858.792536
276.663226,272,860.986872
301.409868,264,863.144177
270.25954,239,864.932897
260.887765,266,871.350947
300.23841,291,873.714356
291.10511,289,875.857117
295.930664,350,882.344601
290.421655,288,884.793993
291.800981,267,886.90328
251.988748,270,889.003375
290.949144,216,894.69836
251.424874,296,896.603481
276.849577,254,898.455277
281.493234,272,901.044077
300.167233,271,907.051695
261.67548,229,909.530633
266.307702,270,911.412262
247.805937,273,913.396295
292.828504,220,919.363014
268.083796,243,921.357564
256.865111,259,923.224803
303.525079,265,925.060729
272.971567,284,931.269204
298.493478,260,933.059098
263.859055,270,934.855737
296.681373,250,936.47865
274.473657,285,942.426626
292.577138,222,944.045261
237.302835,248,945.786744
259.154293,265,947.629832
277.447868,226,952.910369
269.482024,220,954.568525
284.087151,265,957.03371
311.2927,250,959.004611
275.572129,271,964.6514
256.844746,265,966.294984
262.966876,235,968.040382
287.202901,242,969.909894
306.834306,289,977.266212
297.768243,288,979.506945
287.470928,237,981.377009
297.024604,527,989.159725
285.986346,233,990.469884
274.500038,235,992.088012
300.16453,239,993.672271
