#{"t_start": 1779567485.0830843, "env_id": "LunarLander-v3"}
r,l,t
-159.421472,62,0.03843
-158.928107,94,0.089944
-204.395279,123,0.150357
-128.520196,113,0.208724
-330.692104,116,0.268918
-191.689619,63,0.306126
-114.324408,72,0.344135
-244.811112,117,0.396954
-200.931547,72,0.429834
-74.734548,65,0.462725
-114.549788,87,0.50375
-109.927754,88,0.76583
-210.358678,123,0.822984
-74.991611,114,0.873806
-79.81731,70,0.906486
-104.907906,79,0.942214
-141.788471,93,0.98336
-293.95964,93,1.024683
-79.72098,70,1.058741
-224.964936,69,1.094084
-215.754999,70,1.12431
-164.688767,86,1.16461
-367.380332,93,1.207835
-125.270325,66,1.469155
-116.64483,107,1.523434
-130.861082,97,1.568584
-134.508847,92,1.616197
-390.093112,94,1.657264
-189.798434,148,1.731525
-198.224613,82,1.768334
-123.933264,109,1.819836
-90.60842,118,1.872864
-129.662514,57,1.906538
-126.108472,65,1.938378
-131.708439,71,2.276584
-112.916485,91,2.33146
-88.981603,69,2.3627
-242.732977,86,2.400856
-254.368696,87,2.438987
-132.457142,83,2.476522
-150.684588,87,2.517195
-274.831144,109,2.573713
-209.159852,107,2.622619
-116.867772,99,2.665323
-96.46584,69,2.698487
-55.964625,59,2.725673
-91.753459,69,2.97142
-68.518993,67,3.002555
-134.199222,86,3.038432
-134.068954,109,3.087785
-106.706016,97,3.130561
4.829198,105,3.181094
-336.460186,99,3.224694
-182.07873,80,3.26158
-173.952625,83,3.297187
-178.603104,80,3.332165
-231.899649,74,3.364798
-81.205935,71,3.399586
-184.472673,125,3.676187
-162.481381,123,3.728467
-257.035671,139,3.795058
-77.450254,67,3.829645
-52.599918,65,3.858194
-104.62807,77,3.896034
-199.578953,94,3.939152
-117.332932,103,3.984672
-302.095511,81,4.01899
-105.305925,158,4.092991
-129.351867,109,4.35316
-237.543213,112,4.405283
-94.174986,92,4.446978
-117.475984,77,4.482363
-266.852226,101,4.527442
-218.10135,102,4.579232
-304.354874,107,4.632373
-78.74242,112,4.67936
-114.306887,61,4.709085
-61.837665,64,4.738911
-253.960003,105,4.995285
-248.881171,99,5.038261
-144.006971,89,5.079571
-104.2265,75,5.113986
-266.368572,85,5.154054
-287.751848,152,5.225311
-102.293752,93,5.267468
-110.023103,76,5.30293
-126.812066,60,5.330602
-122.227529,96,5.372571
-130.823675,93,5.413602
-48.654422,64,5.445627
-102.018706,69,5.682801
-366.418547,124,5.744049
-121.779277,55,5.769726
-82.452049,68,5.80299
23.692192,106,5.849715
-148.296166,97,5.893614
-97.905875,85,5.931197
-353.156218,105,5.977403
-195.940183,119,6.028561
-110.348325,114,6.080955
-74.978115,67,6.110029
-463.297988,91,6.369528
-54.991082,68,6.403875
-330.102807,101,6.447674
-100.020767,104,6.50215
-146.304176,75,6.537731
-104.790013,113,6.5893
-157.018464,64,6.621631
-84.618591,91,6.662956
-221.709388,98,6.707229
-212.816527,92,6.74791
-387.112686,98,6.793013
-293.772171,105,7.063756
-152.753849,57,7.088656
-20.515052,98,7.137363
-191.897839,105,7.186241
-204.136192,90,7.238199
-341.288277,94,7.281626
-217.384257,110,7.338426
-121.164487,87,7.379264
-383.850838,99,7.431283
-179.717615,85,7.47026
-120.289253,99,7.511738
-101.763087,62,7.545154
-177.439018,82,7.796054
-183.708829,134,7.857809
-95.741541,76,7.891799
-221.880133,85,7.931381
-168.351962,95,7.982371
-217.027078,141,8.050265
-140.174925,65,8.080484
-426.669598,96,8.124131
-231.582031,121,8.191553
-58.208972,65,8.224383
-283.761911,101,8.480379
-66.572716,62,8.511094
-256.915122,109,8.560639
-163.762848,66,8.592079
-131.727579,97,8.637714
-203.860233,95,8.68058
-283.639715,90,8.722731
-252.991516,83,8.761047
-263.570221,116,8.814261
-184.767534,86,8.854234
-94.842552,77,8.891851
-116.861768,68,8.936278
-111.520995,82,9.193613
-109.100438,102,9.241577
-80.13255,72,9.277561
-109.297854,73,9.313872
-76.428931,79,9.352558
-182.103896,109,9.400208
-104.922239,91,9.442517
-96.185035,84,9.482256
-116.046638,70,9.512494
-117.291273,113,9.565698
-109.88618,109,9.618079
-436.528367,107,9.902087
-85.965513,69,9.93436
28.33239,71,9.969262
-117.169401,90,10.009262
-30.655526,129,10.067613
-157.31889,124,10.124977
-171.724102,97,10.168239
-174.837914,123,10.224337
-156.222835,111,10.27539
-93.386183,83,10.313649
-90.783901,58,10.342068
-294.755797,82,10.604902
-390.048274,78,10.639761
-87.738538,94,10.682856
-235.555103,79,10.719846
-261.228954,127,10.78082
-235.858681,96,10.827548
-124.707993,66,10.856692
-90.893212,64,10.887116
-93.060161,81,10.928041
-114.161392,136,10.989124
-77.425162,64,11.023044
-55.598613,57,11.052964
-104.02345,74,11.307529
-87.387118,84,11.345088
-140.268484,146,11.414605
-75.790423,61,11.44374
-290.071525,119,11.498451
-91.873508,88,11.541662
-117.360569,101,11.588228
-125.893804,78,11.622322
-104.423125,127,11.682378
-36.862878,104,11.729559
-197.911665,117,12.00312
-142.388214,74,12.037048
-86.420735,121,12.096637
-120.362628,71,12.131613
-102.186681,73,12.176532
-150.011762,95,12.234838
-114.852687,67,12.28053
-272.753014,115,12.337128
-110.067335,93,12.382321
-17.33478,127,12.441547
-244.636591,86,12.486719
-88.242876,99,12.764392
-49.286985,67,12.798483
-152.134869,71,12.831635
-193.316935,116,12.88898
13.99896,94,12.929822
-90.215972,69,12.959596
-34.537574,100,13.004734
-149.116724,119,13.059741
-111.374111,82,13.097776
-156.712949,79,13.134733
-175.493931,124,13.193624
-69.085234,113,13.453877
-305.818986,107,13.49739
-26.592488,113,13.547231
-224.388571,112,13.604006
-261.538901,117,13.656789
-117.194366,78,13.695479
-283.759351,99,13.740849
-175.04904,114,13.791084
-130.31024,96,13.83381
-84.32814,74,13.86679
-75.203813,76,13.900868
-122.211233,83,14.157894
-96.260441,102,14.208712
-70.166671,77,14.243827
-66.143959,86,14.283051
-80.776822,98,14.327795
-120.597983,79,14.364166
-364.732684,84,14.4076
-94.694157,80,14.444452
-149.859517,127,14.501626
-332.287671,97,14.549762
-109.230428,66,14.580355
-78.012117,121,14.861002
-199.072467,87,14.90798
-101.909602,95,14.952538
-96.022238,78,14.988282
-137.576872,95,15.032431
-84.706621,91,15.07557
-260.504132,125,15.127468
-227.168723,125,15.185972
-223.534522,120,15.240839
-98.776027,87,15.282516
-136.554317,99,15.54746
-183.024482,143,15.620576
-103.744338,70,15.652136
-89.781389,85,15.693916
-94.260206,72,15.727891
-50.716426,67,15.758108
-120.980824,58,15.786694
-134.22244,88,15.830864
-267.198905,125,15.891907
-100.958551,127,15.951102
-287.580847,106,16.000819
-73.349409,85,16.255569
-164.7708,113,16.304813
-222.691796,102,16.357082
-111.458189,66,16.385696
-90.434927,126,16.451713
-73.356374,60,16.489986
-127.955738,103,16.535122
-382.255922,120,16.585862
-162.49741,122,16.641672
-125.768405,100,16.687614
-122.843435,89,16.94732
-125.446802,91,16.988465
-161.598017,112,17.037931
-158.485204,87,17.082565
-79.451346,68,17.115815
-204.535662,95,17.159602
-148.147221,125,17.219728
-165.887031,107,17.275973
-108.093682,88,17.323549
-122.212126,100,17.373473
-134.89948,73,17.410957
-113.672926,120,17.68237
-76.768672,64,17.712967
-107.55278,109,17.761194
-179.250806,68,17.797852
-178.448358,67,17.837677
-115.278053,73,17.87471
-178.590679,106,17.926229
-135.155799,105,17.978274
-205.27725,118,18.034898
-79.909542,61,18.060905
-284.165755,92,18.100137
-160.330818,94,18.358181
-87.258612,73,18.391906
-115.268157,80,18.431847
-371.548212,140,18.497358
-121.42865,89,18.537266
-108.359743,68,18.570731
-117.99026,106,18.617468
-66.402729,70,18.648858
-140.754753,114,18.698161
-185.075121,113,18.745865
-75.882922,145,18.814272
-98.575787,60,19.064969
-249.67175,89,19.107188
-84.02256,66,19.13787
-106.614003,89,19.178976
-135.567097,90,19.220241
-91.749805,85,19.261879
-69.997149,65,19.295246
-66.568423,60,19.32507
-329.593575,129,19.384831
-111.249765,129,19.447823
-97.409107,85,19.490816
-244.39048,110,19.755763
-149.905187,72,19.790208
-99.296679,64,19.8186
-102.584983,94,19.859506
-80.992006,120,19.919288
-107.513606,102,19.965827
-72.348241,68,20.005817
-109.357621,74,20.042619
-104.603495,70,20.074335
-124.9994,118,20.124987
-154.139252,130,20.184396
-68.897708,61,20.21573
-156.687143,101,20.478979
-24.960182,114,20.529291
-205.371079,77,20.566064
-130.051937,113,20.619803
-134.960445,87,20.667925
-59.890883,72,20.700104
-64.955937,84,20.740869
-64.622087,72,20.77281
-98.98511,99,20.81542
-118.64937,123,20.872669
-289.9911,90,20.911874
-88.030037,89,21.198155
-168.791172,111,21.247274
-127.935143,117,21.301921
-110.691241,89,21.344234
-132.378792,113,21.39866
-98.654616,61,21.428865
-66.58707,113,21.489165
-196.556392,103,21.533459
-181.849157,80,21.572351
-104.933733,68,21.604502
-35.244708,105,21.652862
-117.940832,83,21.91136
-264.305903,102,21.955818
-95.686865,66,21.991361
-90.943168,64,22.020931
-172.005881,119,22.075763
-161.717578,99,22.123487
-106.7768,58,22.159769
-257.302884,121,22.21893
-126.060282,71,22.252246
-90.629197,114,22.306467
-134.438724,134,22.369386
-206.005953,112,22.644778
-202.572109,116,22.695868
-129.864048,95,22.740459
-150.264404,126,22.800267
-98.427643,77,22.835465
-51.968244,79,22.870942
-192.752894,122,22.925283
-112.423719,87,22.969125
-118.157447,99,23.014028
-222.655623,126,23.281782
-84.187052,73,23.316471
-124.54845,108,23.36619
-224.41283,117,23.41709
-141.18676,101,23.459842
-37.792362,66,23.491762
-121.260355,133,23.554835
-98.933523,106,23.610901
-80.321119,82,23.648856
-151.136489,67,23.683399
-115.135495,91,23.722065
-220.616517,84,23.978281
-86.192505,97,24.022819
-291.002312,92,24.063014
-125.774544,90,24.107144
-97.107618,66,24.139145
-81.606847,83,24.18375
-108.35114,87,24.239338
-123.312159,86,24.286727
-153.059285,87,24.328818
-101.475022,136,24.393973
-73.236817,127,24.455837
-147.64419,98,24.732219
-151.704019,119,24.785813
-97.426826,72,24.820659
-75.857496,96,24.863849
-94.675448,70,24.894247
-136.45082,98,24.942777
-284.87799,96,24.9836
-107.489384,72,25.022341
-107.223973,106,25.067416
-299.553712,131,25.132864
-127.089627,83,25.177303
-108.374667,84,25.432238
-31.532061,68,25.466634
-69.734572,107,25.511946
-123.595911,103,25.557968
-167.169111,115,25.61459
-83.413112,87,25.65301
-120.067229,117,25.703821
-98.684265,79,25.74642
-194.160894,113,25.80243
-183.888575,104,25.853326
-66.442434,64,25.886474
-149.845861,111,26.162307
-99.181158,80,26.205556
-131.534586,105,26.257322
-143.070716,108,26.311375
-114.676947,84,26.349202
-97.92148,81,26.386024
-123.035653,107,26.437002
-0.737703,68,26.470902
-122.947913,96,26.518853
-125.203326,71,26.553896
-90.783905,76,26.590992
-99.002307,80,26.847768
-119.5689,93,26.89029
-157.5268,93,26.934129
-61.148465,73,26.972895
-147.674942,89,27.019745
-195.132054,112,27.075292
-146.31155,96,27.121904
-102.416764,65,27.155818
-134.517379,128,27.217353
-65.51098,67,27.251718
-106.374785,85,27.292215
-57.125125,58,27.319328
-57.034749,64,27.567468
-124.172857,93,27.617564
-75.634731,57,27.641578
-79.127885,60,27.667241
-136.189645,97,27.722205
-223.668924,130,27.795497
