#{"t_start": 1779567051.1372788, "env_id": "LunarLander-v3"}
r,l,t
-137.776588,69,0.330687
-226.50443,126,0.942751
-143.139827,87,1.372825
-167.385175,68,1.646238
-128.332703,85,1.99052
-97.920082,98,2.402
-108.882731,80,2.706809
-83.19675,68,2.958877
-176.378841,70,3.210416
-137.009259,105,3.625362
-92.384732,79,3.969779
-65.213058,113,4.471351
-174.152005,149,5.076021
-120.072778,107,5.48688
-101.9391,109,5.944579
-95.560446,74,6.272692
-101.891581,66,6.582341
-204.964806,119,7.161877
-61.418897,92,7.582594
-99.993519,88,7.9767
-78.36973,155,8.655104
-100.739337,116,9.136558
-275.719539,168,9.841264
-175.524357,122,10.387451
-59.999112,214,11.201661
-47.675638,140,11.737823
-82.350542,101,12.122596
-33.210057,134,12.657539
-60.626298,158,13.290473
8.957781,258,14.320229
-105.108025,148,14.885973
-33.365522,101,15.288155
-141.874511,717,18.239349
-332.931982,825,21.982129
-164.719878,1000,26.294067
-43.785653,226,27.277555
-72.889035,1000,31.684888
-12.625896,244,32.808214
-45.432253,1000,37.223338
-355.412275,210,38.092356
-62.233102,162,38.756706
5.557799,127,39.324299
-10.636061,191,40.152886
-51.764104,201,41.005865
13.308598,385,42.938406
-231.216215,280,44.236692
34.566569,320,45.747764
-11.385032,211,46.743886
-201.866433,172,47.536612
-4.865767,190,48.399974
-925.387652,102,48.869348
-226.545847,491,50.95179
-30.535505,176,51.661448
-297.757962,134,52.173716
-243.433177,143,52.753374
-21.048788,130,53.279171
-355.340364,149,54.038289
-161.551483,223,54.9491
-255.371105,167,55.780117
-315.576073,184,56.667154
-273.387664,173,57.448899
-244.714631,209,58.449125
-53.183256,308,59.789153
-293.932049,137,60.406685
-309.972471,159,61.06917
-202.397184,194,61.855289
-190.737886,531,64.218368
-227.529609,202,64.993379
-223.747401,189,65.746888
-244.733344,202,66.519786
-266.799689,170,67.192218
-314.175734,138,67.738589
-249.978183,167,68.406882
-298.00399,186,69.107615
-201.387058,134,69.63416
249.804296,323,70.944107
59.632855,256,71.959998
-58.373831,323,73.275631
-108.415719,232,74.249692
-76.073205,271,75.362621
-80.810462,174,76.132015
-71.533422,744,79.758938
-221.497684,315,81.244498
-20.501034,286,82.541873
-39.197723,1000,86.699702
107.96541,1000,90.784191
180.49777,731,94.064279
-71.024052,1000,98.676153
231.917983,320,100.133261
41.402603,1000,104.175998
-11.809709,1000,108.187239
-186.996144,842,111.819982
53.026325,1000,116.50806
-120.420715,654,119.655154
3.266431,355,121.102063
-24.671414,112,121.569436
-38.363721,274,122.753668
16.81474,409,124.964952
-95.10912,1000,129.457961
21.046711,169,130.133093
3.947394,237,131.107731
-48.73496,1000,135.052883
28.117391,133,135.619296
22.621431,151,136.287706
10.045226,146,136.886896
-23.61156,128,137.427496
9.029108,130,138.01841
-99.596222,291,139.253826
-11.82343,134,139.816936
7.881108,134,140.367737
34.926336,115,140.934376
-69.520068,1000,145.308757
-28.136278,1000,149.465657
165.302304,870,153.290569
-63.050015,1000,157.493505
-73.690713,1000,161.855768
-71.237632,1000,166.172303
-116.305168,1000,170.521831
-53.368604,131,171.185588
-58.025316,1000,175.612916
-62.887897,1000,179.975481
-80.135024,1000,184.510259
-34.596948,121,185.021631
-1.150659,115,185.582065
-54.387266,1000,189.798805
-51.277935,1000,194.493597
-12.438381,1000,199.343078
-43.710517,1000,204.009883
13.485678,1000,208.231238
69.935456,1000,212.412121
-15.087919,213,213.355527
-3.153887,1000,217.399817
