#{"t_start": 1779567706.2443779, "env_id": "LunarLander-v3"}
r,l,t
-144.710926,126,0.076847
-119.873199,78,0.11679
-185.423114,64,0.151856
-378.536317,103,0.200495
-94.028037,74,0.241482
-134.417081,82,0.28669
-69.770095,69,0.322074
-80.345992,66,0.352693
-98.433043,99,0.404609
-128.72135,86,0.449571
-106.93548,63,0.4811
-210.399972,123,0.777829
-253.547032,104,0.832247
-126.54829,81,0.87925
-104.545456,97,0.926643
-123.748009,75,0.96846
-230.297006,63,1.002314
-75.364996,57,1.030021
-410.677297,81,1.079855
-105.033908,127,1.143255
-131.58718,109,1.197498
-137.353633,78,1.23355
-151.379906,93,1.278582
-104.082531,63,1.535772
-113.809455,75,1.57511
-94.213459,73,1.613282
-241.768403,115,1.672865
-89.649697,85,1.714223
-163.849076,104,1.761828
-109.718301,95,1.803709
-288.583677,96,1.852332
-114.378375,93,1.903431
-80.648819,63,1.933635
-185.211644,69,1.971689
-102.969563,74,2.01086
-148.98978,130,2.340703
-217.28594,84,2.409463
-327.277543,99,2.45488
-264.94757,80,2.495818
-86.502224,122,2.553426
-117.581436,80,2.595745
-87.581958,90,2.641547
-83.767492,66,2.677655
-71.522002,127,2.739086
-154.302103,108,2.796284
-88.792559,65,2.8286
-148.633778,131,3.099721
-353.338568,88,3.141532
-42.020394,74,3.178153
-29.177239,132,3.241445
-12.636327,97,3.298352
-80.459405,58,3.330049
-120.010749,113,3.383701
-383.635608,100,3.428909
-121.637225,91,3.474098
-310.055712,113,3.529929
-257.175003,113,3.822187
-116.810975,71,3.861664
-82.277486,62,3.891398
-241.891205,109,3.945066
-75.377463,58,3.974675
-329.289022,98,4.020278
-236.133626,116,4.076098
-280.173309,95,4.125364
-129.88119,123,4.1862
-120.973418,85,4.227806
-117.447406,79,4.267462
-164.918833,89,4.544519
-94.770222,77,4.5861
-43.150573,118,4.642966
-183.135116,99,4.688515
-222.40819,96,4.74032
-139.770399,73,4.780689
-150.764497,118,4.837126
-132.428796,72,4.873397
-293.713895,135,4.936661
-79.114136,60,4.965532
-87.782412,82,5.004395
-111.729694,56,5.031672
-147.077719,83,5.342186
-154.193487,130,5.411545
-185.619819,110,5.463037
-162.34707,115,5.519379
-187.172844,120,5.586052
-125.814225,104,5.635808
-114.539629,87,5.676961
