#{"t_start": 1779567784.307116, "env_id": "LunarLander-v3"}
r,l,t
-159.421472,62,0.039708
-158.928107,94,0.100535
-204.395279,123,0.163283
-128.520196,113,0.233171
-330.692104,116,0.308473
-191.689619,63,0.339051
-114.324408,72,0.372898
-244.811112,117,0.432053
-200.931547,72,0.467845
-74.734548,65,0.502596
-114.549788,87,0.545779
-118.566481,89,0.826468
-144.559345,116,0.887086
-288.564857,106,0.939682
-143.10308,118,1.003106
0.707814,85,1.046158
21.889465,120,1.105401
-126.541988,96,1.15175
-133.310814,97,1.200812
-105.669789,101,1.252142
-88.921592,92,1.295244
-84.559811,73,1.549994
33.497496,142,1.623675
-275.715546,99,1.677649
-8.840061,88,1.719939
-460.475922,90,1.762423
-120.241414,82,1.803012
-176.836111,67,1.836703
-146.320349,76,1.874017
-127.698954,70,1.910259
-342.885032,113,1.966797
-115.017539,73,2.000739
-165.659166,101,2.285036
-223.152018,87,2.323924
-316.334677,117,2.380118
-353.8849,101,2.433516
-124.033836,78,2.479421
-142.610945,74,2.51602
-123.363516,74,2.552725
-109.222014,123,2.613194
-328.468146,136,2.68721
-188.655665,112,2.744112
-137.436112,107,2.801138
-105.493368,63,3.068682
-109.975417,73,3.103643
-150.261856,98,3.150726
-96.200197,93,3.19993
-64.776623,69,3.236789
-107.35929,106,3.28864
-374.289425,153,3.366492
-145.475146,91,3.409889
-82.002662,72,3.44839
-372.468407,117,3.504226
-115.121438,98,3.557644
-90.023922,76,3.833699
-220.228673,121,3.892618
-216.340839,103,3.948519
-214.434453,104,4.001379
-120.384964,104,4.058846
-159.71724,116,4.11553
-224.757433,109,4.172064
-341.247127,94,4.217172
-95.765464,123,4.285757
-73.212714,62,4.316233
-114.927288,122,4.59382
-187.064257,76,4.631495
-196.335223,92,4.676036
-115.740228,79,4.718984
-113.399328,95,4.764907
-66.494374,80,4.811619
-152.424399,96,4.872436
-89.711906,66,4.9074
-92.446529,76,4.944334
-110.495016,81,4.983031
-95.130598,86,5.027968
-117.139577,110,5.299374
-85.175448,109,5.358241
-78.763392,86,5.39936
-248.671033,116,5.460706
-94.616781,90,5.504956
-85.438939,68,5.539773
-185.687354,111,5.597073
-101.885875,67,5.634135
-172.468204,106,5.686913
-154.794746,71,5.722375
-168.321846,99,5.773177
-80.793211,65,5.807173
-78.035728,61,6.056982
-97.921892,89,6.099638
-70.893395,60,6.129848
-84.699614,71,6.166563
-152.574723,94,6.211346
-100.908432,111,6.268525
-267.279305,128,6.32555
-193.792987,85,6.37139
-72.288552,66,6.424681
-73.50085,79,6.472227
