#{"t_start": 1779571140.6188889, "env_id": "LunarLander-v3"}
r,l,t
-93.959728,103,0.475899
-313.005125,120,1.059313
-484.348844,140,1.671899
-411.384869,181,2.34433
-177.237694,117,2.9838
-234.32834,102,3.532627
-318.328496,86,3.987058
-287.665271,439,6.150813
-76.315618,306,7.983246
-166.650099,204,9.315552
-210.33015,232,10.749391
30.673689,392,12.950624
-426.959821,250,14.163544
-25.643512,119,14.807905
-58.750109,168,15.838813
-4.664599,105,16.486351
-8.710801,158,17.428776
-101.145184,184,18.84186
-125.229537,181,20.409472
-167.239507,149,21.767828
-77.135595,192,23.230507
-81.472383,227,24.834345
-179.351996,153,25.739884
-171.027943,135,26.533269
-53.143034,308,28.639318
-157.36882,221,29.859597
-182.196125,206,32.659942
-179.722857,222,34.059473
-79.611942,335,35.982007
-160.507907,167,36.936607
73.752739,135,37.789795
-274.39381,286,39.586156
-2.756885,158,40.565006
4.389852,308,42.342504
-2.706399,223,43.441318
-202.992081,265,44.976055
-207.109977,234,46.636777
-178.618734,438,49.819558
-285.634321,375,52.087301
-141.653587,161,52.878556
30.827336,198,54.072905
-30.730594,270,55.434536
-82.591666,346,57.574218
-76.492755,278,59.400416
4.736947,235,61.399328
16.689423,230,65.207749
-75.1515,184,66.802097
-50.630892,208,68.344861
-22.056805,310,70.306334
-256.879681,253,71.526937
-39.636752,165,72.307047
-255.10827,243,74.121342
-21.30868,377,76.849874
-207.506217,233,78.543916
-55.354695,232,79.943686
-20.050001,293,81.685941
-98.194463,229,83.271369
-194.726947,155,84.531218
79.822809,1000,91.061838
-160.983334,138,92.047638
14.423688,238,93.560844
-65.41021,355,96.247263
-157.567156,143,97.513883
10.934756,217,100.452517
-123.683007,161,101.529105
-144.104362,155,102.528136
-86.877626,257,104.231997
-92.909226,406,107.177675
-156.699218,155,108.377619
-171.804121,156,109.586697
164.482545,1000,117.210897
-146.864942,629,122.442643
-266.223492,261,124.349538
-169.805033,217,125.456429
-191.443219,264,127.065331
74.794068,1000,135.132608
-32.564662,278,136.913544
-160.50272,150,139.274264
-135.55369,162,140.483837
89.20457,1000,147.764091
-25.884289,173,148.903425
-260.515375,394,151.730558
-5.056148,179,152.994164
22.933861,188,154.332868
-168.88399,198,155.509125
-0.888447,218,156.80615
-44.042095,316,159.031826
-77.245592,226,160.408178
-51.016242,367,162.925531
-4.096131,192,164.227444
-238.659595,305,166.316275
-90.627924,382,168.849645
-10.873389,171,169.841003
-42.689465,179,171.016156
-217.324067,220,172.667599
