#{"t_start": 1779567861.0442152, "env_id": "LunarLander-v3"}
r,l,t
-144.710926,126,0.075958
-119.873199,78,0.113266
-185.423114,64,0.146429
-378.536317,103,0.197763
-94.028037,74,0.24684
-134.417081,82,0.296833
-69.770095,69,0.331617
-80.345992,66,0.362402
-98.433043,99,0.412875
-128.72135,86,0.45615
-106.93548,63,0.486139
-210.399972,123,0.77388
-322.133626,100,0.834175
-199.376515,106,0.88439
-114.349779,75,0.922416
-135.175142,64,0.953763
-96.755356,66,0.986495
-109.883108,122,1.045175
-305.272019,62,1.074637
-115.729675,88,1.120487
-268.780419,99,1.168329
-537.712151,126,1.236479
-118.270558,62,1.270977
-77.871371,64,1.529612
-131.722207,72,1.565992
-304.968128,77,1.60322
-111.676537,137,1.67106
36.321215,71,1.704629
-139.216466,76,1.744979
-101.861337,78,1.784887
-194.904982,63,1.814504
-144.30734,114,1.86899
-123.559165,109,1.92697
-100.712593,69,1.967635
-125.581331,122,2.031422
-177.000576,131,2.325259
55.135548,91,2.384711
-107.63048,70,2.41886
-86.343881,77,2.456473
-108.086248,117,2.512156
-130.158798,77,2.550215
-327.447388,89,2.597338
-107.963633,120,2.656803
-117.79388,123,2.714623
-358.391615,112,2.768614
-237.181318,124,3.059718
-44.262625,130,3.131696
-9.133083,138,3.202352
-26.995105,70,3.23824
-121.761453,87,3.285321
-193.956287,97,3.333531
-144.629729,117,3.394051
-106.717814,113,3.456137
-101.994078,91,3.509603
-70.593107,77,3.549344
-309.203777,69,3.806556
-118.954756,76,3.846702
-179.662494,64,3.875669
-143.740705,125,3.935422
-178.250728,133,3.999186
-92.5917,113,4.055551
-148.232741,88,4.097109
-99.714285,101,4.145781
-129.674271,77,4.188005
-375.605059,81,4.227127
-180.125444,103,4.275547
-280.539289,76,4.549023
-419.455245,106,4.596918
-338.583631,105,4.65806
-152.742939,73,4.695098
-178.704705,145,4.765059
-232.100602,110,4.81987
-402.793049,95,4.86606
-226.811399,104,4.917679
-228.509927,99,4.979084
-464.418853,102,5.029587
-183.161864,105,5.306469
-45.536107,69,5.341264
-116.207709,97,5.388974
-418.625416,134,5.452412
-274.120021,88,5.498733
-303.88901,74,5.533589
-44.80457,136,5.60033
-74.28145,70,5.636791
-158.549646,131,5.704051
-347.169323,92,5.748734
-97.128754,119,6.040497
-133.480384,103,6.088019
-222.526935,79,6.129272
-178.634525,143,6.196792
-278.447283,106,6.242612
-102.216993,111,6.299352
-105.032124,97,6.346636
-187.252324,110,6.400545
-139.146774,90,6.446607
-106.925926,71,6.482672
-79.8874,94,7.017171
-98.60311,94,7.097124
-98.696608,75,7.137965
-34.102421,116,7.199744
-90.599151,63,7.232477
-100.770649,79,7.276798
-127.542635,86,7.319973
-116.514415,74,7.353527
-126.131848,91,7.397199
-119.530447,103,7.448966
-76.963655,64,7.479857
-198.629985,101,7.531037
-86.326799,59,7.81146
-191.800815,106,7.863304
-107.358311,81,7.906819
-31.711387,103,7.963613
-115.230612,88,8.004117
-83.167342,81,8.041233
-111.786357,131,8.110805
-95.50294,84,8.155889
-349.390153,111,8.223985
-172.385285,75,8.258364
-97.694607,83,8.302653
-58.458517,88,8.558996
-87.859123,108,8.612816
-201.830635,132,8.677926
-273.450896,92,8.728217
-47.664643,59,8.754668
-206.180956,110,8.80857
-203.70908,113,8.86093
-307.705678,93,8.905609
-222.514868,116,8.959337
-81.15968,70,8.997349
-298.448535,95,9.291193
-139.705204,81,9.333043
-269.379206,100,9.379574
-104.285325,80,9.42286
-86.000471,124,9.485946
-55.783071,63,9.514263
-44.687652,85,9.554124
-102.005599,143,9.626299
-113.862736,108,9.683935
-183.018355,74,9.723158
-111.719637,68,9.761618
-98.544364,73,9.805166
-80.221773,82,10.061279
-100.478158,94,10.107402
-501.373593,119,10.164042
-286.335927,110,10.221357
-84.655077,91,10.27073
-227.209026,105,10.322795
-308.77545,88,10.362542
-122.46041,89,10.415966
-106.537026,140,10.492409
-52.876132,139,10.815991
-13.608021,104,10.87494
8.809357,125,10.943252
-135.101345,95,11.007458
-99.851206,84,11.049012
-164.81261,140,11.128386
-128.074697,126,11.188589
-103.408199,128,11.250562
-250.333388,136,11.325557
-83.343655,118,11.638368
-97.364144,96,11.68792
16.058889,113,11.748036
-92.606349,83,11.795129
-77.416312,77,11.834544
-16.947874,81,11.883371
-59.826374,134,11.948334
-100.617122,76,11.990007
-157.540892,100,12.041012
-51.6992,111,12.097587
-56.888032,129,12.378476
-143.48688,80,12.420024
-61.006822,99,12.464309
-113.071564,107,12.523285
-122.021978,75,12.55882
