#{"t_start": 1779566833.3862238, "env_id": "LunarLander-v3"}
r,l,t
-285.696752,108,0.419087
-259.840661,131,0.898649
-397.015313,96,1.334232
-62.554273,63,1.637875
-245.37084,82,2.022354
-79.437819,70,2.310364
-29.222704,104,2.683409
-124.997994,72,2.950764
-249.919416,96,3.313223
-207.619139,101,3.703083
-143.770166,95,4.07476
-68.371537,101,4.467379
-113.211522,92,4.80815
-264.035607,135,5.326555
-167.692148,115,5.773008
-18.274492,89,6.102475
-111.706709,79,6.385908
-99.658891,92,6.734793
-75.343443,130,7.233308
-85.606988,132,7.823595
-81.120341,202,8.717379
-6.385162,86,9.048172
-64.649618,90,9.395726
-162.28005,104,9.79396
-75.535074,165,10.394262
-89.614763,159,11.003567
-23.705084,219,11.923886
-7.246554,199,12.757259
-27.267261,143,13.336391
-9.716174,266,14.470665
-106.127835,497,16.564377
33.95596,1000,20.914887
-116.132924,1000,25.446639
-113.183093,345,26.900747
-93.704691,205,27.752377
-140.882337,1000,31.894212
4.171374,1000,36.257558
-301.47315,867,40.061238
-164.377505,860,43.599065
-62.234809,1000,47.454427
6.185984,1000,51.639209
-22.20675,1000,55.514349
9.353234,1000,59.56485
9.639012,1000,63.806064
-19.257241,1000,67.620923
-44.799024,1000,71.807048
-324.253414,600,74.451219
-28.041749,1000,78.792471
-50.769862,1000,83.362494
10.728946,1000,87.447602
-411.71215,864,90.871249
-122.82224,691,93.677894
-109.296334,1000,97.638252
-113.154334,1000,102.046398
-42.538668,1000,106.00796
12.17067,1000,110.072267
-71.428669,1000,114.001258
-146.507044,548,116.559287
-12.139333,1000,120.467402
-167.420492,294,121.566844
-54.360513,1000,125.682482
-90.582316,1000,130.56551
-62.866132,1000,135.507823
-164.790351,219,136.368475
-7.057266,1000,140.964893
10.959396,1000,145.450551
-45.658675,1000,150.606874
-174.557166,169,151.296602
-126.299779,227,152.499707
-110.804482,140,153.094435
14.636885,1000,157.52077
31.375193,1000,161.814348
-21.486954,1000,166.289212
-3.972668,1000,170.782178
-29.408088,1000,175.672192
-16.934249,1000,180.314233
118.681064,883,184.147059
-10.543424,1000,188.726875
-50.601967,1000,193.353291
-256.305095,651,196.188254
16.483327,1000,200.675008
177.590832,633,203.62548
234.079375,341,205.043243
243.988453,392,206.773351
91.54382,1000,211.119227
-85.937757,451,213.227079
