#{"t_start": 1779568676.7312365, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
30.0,254,5.830586
245.0,883,11.436717
155.0,830,17.787312
55.0,511,21.015974
110.0,606,25.488911
70.0,399,28.473478
75.0,277,30.012457
105.0,387,32.310302
90.0,406,34.842309
105.0,444,37.667984
340.0,515,41.798293
60.0,285,43.416603
190.0,695,48.253925
155.0,517,52.34198
65.0,443,55.055002
295.0,680,59.240004
95.0,482,62.119704
200.0,703,67.590852
130.0,378,69.707481
100.0,410,72.114221
150.0,525,75.307146
70.0,383,78.661117
65.0,492,81.473541
240.0,768,86.238088
110.0,417,89.084104
60.0,375,91.934501
185.0,835,97.174764
5.0,353,99.329367
150.0,605,104.050925
105.0,305,105.682075
150.0,594,109.324072
110.0,381,111.556601
110.0,496,115.36037
215.0,638,119.872341
155.0,502,122.99502
175.0,628,127.124929
115.0,428,130.610793
55.0,400,133.016249
115.0,566,136.463284
30.0,274,138.156654
335.0,872,144.895249
150.0,689,149.227415
250.0,845,155.820725
110.0,552,159.122821
65.0,295,160.732275
375.0,686,165.249264
105.0,408,168.883356
140.0,674,173.062777
20.0,509,176.172872
75.0,372,178.692397
180.0,524,182.797102
440.0,734,187.681343
75.0,469,190.60379
90.0,529,194.936836
35.0,387,197.26799
60.0,412,199.74193
140.0,508,202.895316
85.0,479,207.09092
85.0,469,209.943984
45.0,301,211.550741
80.0,393,213.914768
130.0,680,218.961475
175.0,569,222.827881
410.0,748,227.511571
255.0,686,233.033928
140.0,595,236.808477
130.0,646,240.98191
165.0,867,247.693076
555.0,852,253.005206
45.0,353,255.073428
220.0,646,260.202204
180.0,554,263.674299
80.0,471,266.798936
130.0,711,272.482866
45.0,292,274.222416
60.0,435,276.952839
45.0,279,278.6244
30.0,378,280.807863
80.0,462,284.750108
80.0,380,287.064311
35.0,285,288.783675
125.0,555,292.270042
70.0,589,297.155068
155.0,448,299.883385
140.0,489,307.139872
75.0,469,311.036896
65.0,508,314.215163
170.0,744,319.07089
185.0,580,323.790743
200.0,867,329.355446
85.0,496,332.430176
100.0,590,337.159678
85.0,369,339.435532
515.0,682,343.608405
150.0,504,347.770631
20.0,271,349.47366
235.0,801,354.617005
55.0,362,356.865912
155.0,610,361.979829
20.0,293,363.599925
280.0,904,369.380203
115.0,463,372.88714
75.0,262,374.649868
65.0,392,376.825639
40.0,438,379.535726
45.0,514,383.327478
90.0,684,389.128389
0.0,487,392.39027
155.0,752,397.848713
335.0,932,404.872313
180.0,609,408.851204
20.0,693,414.847519
160.0,489,418.202792
110.0,433,420.965602
145.0,684,426.808223
105.0,422,429.401276
55.0,492,432.661526
335.0,998,440.425037
15.0,511,443.953808
30.0,486,447.207758
125.0,406,450.971066
200.0,499,454.290693
105.0,586,458.179759
115.0,532,462.277993
245.0,741,467.722803
395.0,949,474.890397
40.0,365,477.937873
310.0,629,482.115838
210.0,507,485.645635
75.0,506,489.864913
165.0,822,495.430337
170.0,489,498.655715
180.0,651,504.26363
