#{"t_start": 1779568677.6077173, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
220.0,864,9.04346
20.0,253,10.412801
120.0,515,14.791079
135.0,488,17.772799
105.0,423,20.32251
140.0,505,23.508571
65.0,386,26.757496
85.0,471,29.506521
165.0,505,32.803786
275.0,761,38.72333
50.0,373,41.14584
85.0,677,45.543884
360.0,989,53.390673
55.0,330,55.210466
85.0,470,57.939325
310.0,511,61.138305
85.0,298,63.681637
260.0,847,69.270082
30.0,327,71.071818
95.0,470,73.882256
270.0,942,80.808528
135.0,598,84.395163
95.0,383,86.630404
60.0,279,88.620434
15.0,466,92.068197
75.0,376,94.297318
90.0,504,97.323345
45.0,296,99.121457
245.0,878,105.671092
80.0,493,108.586074
90.0,408,111.101815
35.0,296,112.824365
90.0,462,116.746512
50.0,285,118.351206
60.0,297,120.015667
105.0,538,123.389168
260.0,625,128.378439
345.0,888,134.200179
30.0,260,135.764601
165.0,500,139.266861
95.0,420,142.700205
100.0,422,145.129381
180.0,524,148.469728
95.0,479,151.282592
40.0,356,154.472729
285.0,814,159.405475
65.0,406,161.953248
45.0,476,165.193884
170.0,529,169.290315
60.0,398,171.611647
340.0,841,176.918426
55.0,404,180.500913
80.0,312,182.362001
35.0,269,183.896545
170.0,505,187.09064
55.0,335,189.030107
80.0,493,192.978298
20.0,367,195.138871
210.0,700,199.501533
25.0,330,201.388006
65.0,464,205.033305
105.0,551,208.823819
135.0,582,212.507257
90.0,479,215.467942
145.0,525,219.814377
80.0,497,222.882457
150.0,516,225.900748
230.0,707,231.628683
210.0,622,235.614907
90.0,558,239.139121
105.0,458,242.16388
50.0,441,245.688261
130.0,390,247.905018
105.0,501,250.945426
120.0,594,254.96779
225.0,616,259.682518
150.0,534,262.93677
140.0,516,266.244589
20.0,261,267.97964
120.0,357,271.03152
30.0,253,272.47909
115.0,429,275.11623
20.0,374,277.339854
125.0,606,282.000307
275.0,823,287.818072
65.0,292,289.489309
240.0,763,295.086259
55.0,405,297.81158
55.0,321,299.657012
105.0,382,305.98849
10.0,271,308.715545
20.0,263,310.095313
160.0,567,313.671582
110.0,469,316.539785
180.0,702,322.265467
205.0,702,326.807499
420.0,664,330.992038
285.0,727,336.578686
525.0,796,341.474813
25.0,439,344.113356
250.0,756,350.050941
365.0,979,356.539913
50.0,313,358.954469
80.0,379,361.739951
100.0,377,364.012543
65.0,374,366.207602
75.0,287,367.897449
215.0,703,373.459189
120.0,445,376.055733
115.0,497,379.224844
5.0,512,383.223787
75.0,532,387.872178
0.0,381,390.374154
175.0,638,394.659065
325.0,1083,403.177262
180.0,609,407.242937
0.0,495,411.8532
20.0,438,414.802152
105.0,489,417.941582
190.0,600,422.390725
195.0,607,427.229074
155.0,696,431.934434
185.0,1095,440.546769
165.0,525,444.218793
215.0,713,450.330156
105.0,498,453.642465
95.0,515,457.042099
250.0,751,463.345996
205.0,647,467.701636
220.0,640,472.005491
215.0,620,477.471303
260.0,605,481.479257
260.0,1049,489.676092
340.0,735,494.784606
230.0,620,499.294215
180.0,666,504.577185
215.0,941,511.185939
70.0,476,515.403488
130.0,720,520.455255
65.0,514,523.906885
415.0,945,531.636183
165.0,955,539.129024
310.0,761,544.610044
75.0,505,547.966474
130.0,483,551.972993
145.0,523,555.604799
275.0,742,560.464153
90.0,518,565.124181
145.0,497,568.438275
75.0,387,570.869024
480.0,775,576.861316
470.0,592,581.355063
85.0,495,584.729112
360.0,789,591.429199
280.0,684,596.056674
165.0,574,600.012394
230.0,717,606.144433
195.0,1172,614.429356
215.0,758,620.646108
150.0,461,627.704206
450.0,1411,638.257435
425.0,796,644.736333
605.0,1307,654.283243
35.0,322,656.648942
295.0,1092,664.290778
110.0,609,669.491866
260.0,773,674.790439
275.0,701,680.590827
185.0,846,686.634671
115.0,553,690.293744
225.0,754,696.462977
210.0,782,701.796819
465.0,844,708.828947
270.0,689,713.483048
185.0,590,718.191037
305.0,745,723.702602
100.0,493,726.895027
115.0,609,732.033564
150.0,499,735.477257
210.0,632,739.654802
170.0,664,745.202335
165.0,601,749.252881
570.0,1247,759.092093
115.0,518,762.396911
285.0,852,768.525893
320.0,821,775.064988
180.0,612,779.095563
105.0,412,782.443673
125.0,390,785.440744
245.0,776,790.553892
180.0,606,795.392757
250.0,563,799.542521
500.0,672,804.032444
175.0,499,808.053421
180.0,684,812.952774
115.0,729,817.914582
245.0,563,822.638336
235.0,548,826.163229
180.0,724,831.106724
270.0,650,836.699187
195.0,665,841.093395
185.0,767,847.287012
330.0,908,853.456398
235.0,589,857.277864
85.0,510,861.708842
200.0,1094,869.408753
255.0,870,876.486441
610.0,842,882.293985
210.0,614,887.677348
195.0,706,892.284045
120.0,410,895.013586
300.0,692,900.772761
115.0,498,904.073835
185.0,719,908.996535
115.0,727,914.802817
195.0,593,918.765677
95.0,613,923.906719
115.0,496,927.264345
325.0,554,930.791787
300.0,1115,939.275815
400.0,1063,951.052294
415.0,825,956.733769
485.0,1355,967.260859
60.0,395,969.758987
450.0,847,976.524104
245.0,607,980.543553
330.0,974,988.263794
475.0,770,993.428716
330.0,815,999.324789
215.0,908,1006.251659
525.0,866,1012.588613
175.0,928,1019.569225
200.0,699,1024.471934
155.0,475,1028.543936
220.0,746,1033.637531
60.0,295,1035.402955
150.0,548,1040.179625
350.0,744,1045.41293
320.0,812,1051.671851
80.0,508,1055.251635
245.0,636,1059.67363
195.0,727,1065.555176
460.0,1105,1073.069237
380.0,680,1078.692636
525.0,983,1085.502276
275.0,938,1093.111516
125.0,290,1094.937145
50.0,283,1096.641695
350.0,1084,1105.22571
155.0,522,1108.793953
205.0,491,1112.070559
275.0,727,1118.136414
160.0,795,1123.38952
340.0,699,1129.181052
350.0,752,1134.351497
235.0,555,1138.129046
135.0,420,1141.90259
225.0,640,1146.215463
375.0,888,1152.117076
250.0,538,1156.857305
460.0,1380,1167.584282
190.0,594,1171.850021
90.0,259,1173.453675
250.0,604,1177.563354
135.0,498,1181.919262
185.0,664,1186.451987
185.0,544,1190.20155
350.0,839,1197.033961
285.0,672,1201.612796
125.0,812,1208.456072
195.0,510,1211.765007
195.0,629,1215.881419
55.0,307,1218.581375
180.0,650,1223.149862
275.0,1068,1231.608321
270.0,661,1236.225645
235.0,842,1242.073006
780.0,999,1249.878734
105.0,494,1253.125229
370.0,897,1263.347895
355.0,677,1268.165285
270.0,735,1274.155253
225.0,731,1279.118113
315.0,769,1285.506397
125.0,473,1288.592007
50.0,385,1290.970482
165.0,491,1294.881899
110.0,303,1297.207324
85.0,400,1299.919647
340.0,733,1304.74682
230.0,475,1308.865896
175.0,489,1312.035873
205.0,541,1315.65879
360.0,1073,1324.21309
195.0,709,1328.929952
205.0,995,1336.697912
315.0,1075,1344.094071
165.0,487,1348.478121
330.0,720,1353.387936
135.0,591,1357.344041
310.0,865,1364.28951
220.0,774,1369.479367
50.0,511,1374.100798
185.0,510,1377.674685
295.0,733,1382.532769
200.0,682,1388.250369
195.0,605,1392.474844
210.0,1034,1400.700949
215.0,629,1404.972219
300.0,720,1410.790653
85.0,264,1412.580295
225.0,543,1416.187043
300.0,702,1421.019793
535.0,942,1428.478042
70.0,512,1431.864559
230.0,851,1438.803205
100.0,519,1441.995923
210.0,583,1445.735731
270.0,538,1450.486475
105.0,792,1455.902802
215.0,626,1460.306102
120.0,307,1463.054899
495.0,1322,1472.433081
155.0,538,1477.152345
205.0,605,1481.069894
105.0,520,1484.576668
245.0,655,1489.946821
410.0,1124,1497.604885
510.0,851,1504.672159
205.0,642,1508.887467
110.0,510,1513.092873
185.0,404,1516.070871
385.0,824,1521.47547
260.0,922,1528.856737
440.0,954,1535.275148
395.0,1017,1543.378436
30.0,249,1544.758399
150.0,479,1547.950573
495.0,708,1554.007424
115.0,575,1557.82764
230.0,646,1562.294366
845.0,1158,1571.384062
165.0,438,1574.212516
150.0,507,1578.637506
125.0,510,1585.647844
200.0,694,1591.457611
230.0,465,1594.509144
290.0,870,1600.463326
180.0,521,1604.952596
210.0,613,1609.101004
110.0,429,1611.928234
305.0,993,1619.72162
515.0,746,1624.671009
250.0,623,1630.051
310.0,698,1634.712414
365.0,915,1641.932754
270.0,605,1645.749618
240.0,615,1649.766003
110.0,433,1653.105499
110.0,605,1657.869737
210.0,601,1662.049859
155.0,505,1665.848412
210.0,631,1670.839985
400.0,1002,1677.811923
495.0,791,1684.355668
585.0,812,1690.063286
315.0,793,1696.458365
225.0,450,1699.392369
100.0,385,1701.850977
290.0,805,1708.573096
170.0,686,1713.439047
25.0,376,1715.838223
385.0,642,1721.383292
460.0,960,1728.107572
415.0,901,1735.493138
365.0,532,1738.979586
190.0,446,1742.111495
325.0,900,1749.19438
120.0,431,1752.176393
125.0,498,1756.131273
50.0,357,1758.804325
155.0,299,1760.766133
170.0,540,1764.521049
235.0,584,1769.213248
210.0,921,1776.221422
210.0,470,1779.437223
215.0,809,1786.17495
75.0,302,1788.007414
105.0,334,1790.153154
405.0,913,1797.630352
300.0,764,1802.754926
415.0,725,1808.50605
255.0,649,1813.054428
120.0,313,1815.147907
260.0,727,1820.49808
480.0,995,1828.059157
110.0,604,1832.221264
200.0,384,1835.613656
355.0,1006,1842.616913
210.0,612,1847.98244
285.0,900,1854.427956
270.0,720,1860.521657
30.0,395,1863.099407
225.0,634,1867.578096
410.0,839,1874.590774
555.0,853,1880.589896
135.0,426,1883.684666
295.0,950,1891.144473
450.0,1260,1901.433841
245.0,645,1909.921272
585.0,873,1916.945919
345.0,676,1921.622209
390.0,836,1928.680773
255.0,670,1933.350147
470.0,833,1940.247291
380.0,815,1945.710973
180.0,280,1947.482049
510.0,997,1955.900839
145.0,647,1960.137211
240.0,735,1966.428782
235.0,609,1970.48572
