#{"t_start": 1779568677.0340767, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
410.0,1140,11.967453
370.0,691,16.98527
5.0,257,18.443141
35.0,472,21.43927
15.0,250,22.980105
340.0,721,28.716618
135.0,534,32.211363
375.0,727,36.975102
165.0,488,41.142192
30.0,378,43.404273
50.0,354,45.435245
270.0,810,51.898686
155.0,687,56.434685
80.0,478,59.280469
180.0,488,62.112788
175.0,480,66.082494
55.0,305,67.900272
25.0,313,69.696486
160.0,499,72.782846
190.0,841,79.08602
95.0,501,82.024644
210.0,706,86.497191
420.0,638,91.483952
55.0,289,93.045155
30.0,366,95.166572
200.0,504,98.184308
310.0,760,104.090143
170.0,568,107.632278
40.0,517,110.650121
260.0,809,117.0459
95.0,469,120.041078
155.0,496,122.995397
35.0,261,124.523787
265.0,664,129.945494
50.0,257,131.468527
80.0,383,133.786917
15.0,363,135.88022
115.0,420,138.457982
15.0,393,141.788753
95.0,500,144.935809
270.0,878,150.623456
55.0,452,154.132135
30.0,395,156.688046
165.0,888,162.456075
170.0,449,165.445078
140.0,514,169.615514
140.0,551,172.927861
520.0,1033,180.737731
95.0,531,184.029195
160.0,594,187.847304
15.0,290,189.504218
105.0,611,194.362454
15.0,281,195.993005
115.0,471,198.888808
150.0,456,201.65434
315.0,890,208.53848
55.0,403,211.04124
30.0,266,212.608413
175.0,624,216.668267
45.0,451,220.353974
260.0,814,225.450652
45.0,264,226.821689
100.0,500,230.408565
260.0,855,236.583179
50.0,391,238.765889
170.0,677,243.863329
140.0,695,248.793786
120.0,493,251.831235
70.0,332,253.663139
150.0,509,257.974962
30.0,276,259.5405
110.0,461,262.370119
5.0,314,264.213349
105.0,377,266.62953
100.0,412,270.173146
450.0,806,275.783064
410.0,940,282.88891
50.0,302,285.016865
50.0,472,287.922323
60.0,293,289.622693
80.0,438,292.314723
15.0,382,295.145305
120.0,495,298.840579
260.0,674,307.469618
565.0,722,312.984198
70.0,376,315.196466
160.0,873,321.800405
125.0,490,325.093883
35.0,525,328.315417
20.0,310,330.184323
200.0,646,335.273203
5.0,253,336.703315
20.0,250,338.116863
180.0,769,342.856232
60.0,355,345.006534
455.0,865,351.719511
70.0,517,354.880844
40.0,306,356.601804
235.0,966,364.057177
90.0,358,366.207678
130.0,628,370.003867
135.0,484,374.006052
165.0,904,379.867908
5.0,472,383.298298
90.0,697,389.16868
15.0,682,393.754668
225.0,470,397.125019
285.0,1645,409.68114
10.0,464,413.629801
410.0,978,420.606238
55.0,486,425.063411
365.0,683,429.65608
165.0,847,435.733506
185.0,1344,446.056153
25.0,493,450.288166
210.0,652,454.893872
110.0,604,459.071399
105.0,539,463.800539
210.0,634,468.140148
