#{"t_start": 1779572699.498463, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
45.0,332,4.76087
330.0,863,12.309622
240.0,708,17.414698
335.0,618,22.826924
255.0,660,27.579131
145.0,414,30.480725
210.0,742,36.808769
130.0,432,39.915048
80.0,285,41.688838
185.0,774,48.592885
245.0,675,53.662966
80.0,369,56.428302
140.0,494,61.195017
390.0,760,66.690348
125.0,393,69.660913
365.0,878,76.853647
285.0,808,83.716657
145.0,542,87.767504
165.0,535,91.571602
140.0,598,96.957211
455.0,710,102.269612
270.0,769,108.581851
210.0,795,114.81775
30.0,276,116.461549
210.0,488,120.486039
135.0,546,125.19837
55.0,398,128.043208
540.0,1020,136.704878
140.0,509,140.379014
105.0,442,143.423871
280.0,807,150.437385
125.0,465,153.686846
310.0,915,161.554374
170.0,550,165.464693
485.0,745,171.105182
130.0,716,176.843444
60.0,310,179.081905
105.0,428,182.078391
200.0,520,186.950463
310.0,671,192.077974
110.0,432,194.97468
65.0,382,198.697796
90.0,467,202.154228
130.0,474,205.496804
240.0,513,209.519315
15.0,232,211.285058
65.0,566,215.499829
100.0,493,219.082151
100.0,465,223.36505
50.0,463,226.501389
65.0,546,230.339718
85.0,469,234.028392
770.0,990,242.01106
25.0,464,245.261058
290.0,829,252.146788
20.0,238,253.822422
55.0,320,255.76985
100.0,320,257.953752
85.0,364,261.162935
470.0,627,266.049703
330.0,721,271.337915
365.0,602,276.523095
60.0,480,280.078761
70.0,406,282.845921
215.0,731,289.46607
320.0,666,294.397921
140.0,446,298.414366
60.0,338,300.609325
90.0,511,304.454174
155.0,454,307.83594
345.0,611,313.123568
120.0,476,316.502837
15.0,388,319.176399
65.0,294,320.988887
370.0,600,326.307884
135.0,475,329.763689
175.0,504,333.322512
95.0,406,337.210779
165.0,503,340.766042
70.0,254,342.401697
290.0,633,350.913179
85.0,374,353.653601
275.0,778,359.426123
405.0,862,366.751417
335.0,743,372.403404
55.0,396,375.833028
50.0,301,377.664105
140.0,588,381.794495
260.0,570,387.024669
80.0,369,389.585206
100.0,370,392.513688
30.0,370,394.85665
170.0,511,399.605491
250.0,754,405.160091
80.0,528,408.741289
445.0,740,415.420927
205.0,671,420.239359
90.0,425,424.005527
110.0,366,426.593827
135.0,490,430.102082
120.0,413,432.947035
205.0,585,438.064598
110.0,495,441.777896
110.0,403,444.667995
215.0,737,451.08724
255.0,671,455.860301
105.0,384,458.578295
250.0,730,464.724288
45.0,335,467.137578
240.0,552,471.093665
145.0,434,475.261556
215.0,683,480.282538
15.0,324,482.373094
190.0,471,486.394082
115.0,474,490.327179
185.0,533,494.237917
75.0,477,497.98307
120.0,589,502.979354
120.0,479,506.268089
80.0,280,507.978249
620.0,866,515.380223
150.0,459,518.72045
95.0,382,521.330534
170.0,686,527.559566
340.0,779,533.198199
295.0,682,539.07526
175.0,554,543.095952
145.0,499,546.655776
200.0,518,551.206506
150.0,759,556.872075
155.0,522,560.998346
550.0,705,567.374758
100.0,504,570.988035
90.0,456,574.492043
195.0,534,578.875412
210.0,616,583.295686
450.0,756,590.338719
355.0,858,596.704864
310.0,538,601.815705
230.0,614,606.42943
100.0,399,609.537641
130.0,424,613.359158
575.0,1000,621.210612
175.0,510,625.346859
175.0,550,629.734468
75.0,402,632.193285
570.0,1065,640.884055
130.0,419,643.885315
320.0,611,648.163698
235.0,585,653.206579
425.0,874,659.766844
470.0,962,668.010344
245.0,657,672.772873
215.0,494,677.233138
205.0,519,680.789129
205.0,521,684.336627
350.0,686,690.594455
90.0,453,698.201315
140.0,531,703.055734
55.0,384,705.728519
490.0,825,711.95136
360.0,554,716.87451
305.0,665,721.460621
105.0,473,724.766753
145.0,403,728.385956
145.0,458,731.592165
240.0,556,735.5404
415.0,576,740.594833
480.0,1038,748.087279
225.0,551,752.987605
450.0,823,758.979649
130.0,365,761.468994
160.0,464,765.76159
465.0,885,772.361733
280.0,451,775.546561
105.0,346,778.7133
395.0,508,782.197108
220.0,503,785.559541
500.0,849,792.875214
435.0,756,798.02191
275.0,693,803.900168
365.0,895,810.608413
260.0,630,815.90501
110.0,526,819.631826
200.0,483,823.189263
130.0,507,826.725045
330.0,667,832.202709
140.0,518,835.915717
320.0,586,840.615667
595.0,906,847.398886
560.0,630,852.366475
285.0,639,857.669144
110.0,292,859.453993
380.0,783,865.746447
