#{"t_start": 1779572698.6700423, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
365.0,925,11.172493
160.0,607,15.509035
120.0,389,18.290195
145.0,675,24.134849
130.0,615,28.658829
105.0,396,31.554358
175.0,659,37.331587
15.0,289,39.36855
375.0,1028,48.186884
10.0,313,50.203894
140.0,364,52.852614
135.0,481,56.291763
105.0,378,59.800414
65.0,262,61.855339
120.0,418,64.631331
95.0,532,68.404863
105.0,683,74.769089
175.0,632,79.200824
70.0,440,82.365881
505.0,678,88.457326
60.0,374,90.885017
60.0,273,92.798494
95.0,455,96.576895
75.0,304,99.028239
110.0,502,102.788626
490.0,653,107.443241
45.0,454,111.704435
35.0,415,114.878031
135.0,462,118.376417
165.0,707,124.581764
375.0,840,131.091514
440.0,605,136.482432
235.0,586,140.749439
375.0,1089,149.94235
115.0,327,151.943755
320.0,758,157.632325
270.0,803,164.35003
165.0,736,169.66418
470.0,1214,179.879307
70.0,348,182.233406
320.0,787,189.401077
50.0,429,192.47352
140.0,497,195.847829
75.0,444,199.964251
290.0,731,205.49283
345.0,688,211.371823
75.0,270,213.199759
515.0,814,219.476174
15.0,238,221.01195
445.0,730,227.368554
225.0,627,232.128094
240.0,785,238.57686
320.0,754,243.959962
95.0,480,248.054384
390.0,700,253.885534
480.0,875,260.931984
115.0,533,265.283598
55.0,252,267.07359
175.0,533,270.995684
70.0,492,275.13958
245.0,592,279.413092
55.0,388,282.338943
225.0,633,287.831064
85.0,427,291.071252
130.0,490,294.767032
125.0,593,299.951372
145.0,499,303.48732
20.0,326,305.56147
170.0,514,309.270975
250.0,751,315.88921
275.0,871,322.265146
40.0,292,325.032234
170.0,485,328.539927
60.0,362,330.865959
245.0,640,335.89466
325.0,738,342.00454
195.0,703,351.118486
25.0,416,354.147977
85.0,414,356.928514
210.0,673,363.026623
195.0,591,367.239311
200.0,656,371.796135
345.0,711,377.866632
150.0,666,382.733225
165.0,519,387.616208
165.0,484,391.306526
195.0,597,395.716629
120.0,392,399.147294
30.0,280,401.315233
50.0,448,404.427039
205.0,640,408.986238
185.0,699,415.298961
265.0,569,419.427748
340.0,737,425.800005
130.0,578,430.004139
25.0,259,431.629027
195.0,491,435.084476
205.0,489,439.468167
40.0,383,442.281222
100.0,458,445.522742
110.0,497,449.28142
135.0,424,452.801368
520.0,937,459.73771
220.0,800,466.31978
600.0,995,473.995241
180.0,487,478.232967
110.0,518,481.866749
170.0,420,484.773961
210.0,694,490.875118
70.0,364,493.456531
165.0,381,496.027827
80.0,394,499.264401
160.0,663,504.634116
325.0,801,510.676504
285.0,836,517.59114
370.0,696,522.806439
200.0,684,528.876682
185.0,556,532.989958
175.0,601,538.101137
80.0,327,540.372977
320.0,810,546.534565
125.0,391,549.609215
155.0,492,553.606815
220.0,670,558.782196
200.0,478,563.018446
45.0,314,565.498036
300.0,707,570.756627
585.0,870,578.260056
35.0,302,580.102931
280.0,654,585.194254
265.0,666,591.268985
275.0,727,596.749769
235.0,836,604.398097
125.0,426,607.222378
65.0,374,610.187052
175.0,612,615.783523
425.0,697,621.067158
105.0,537,624.756902
340.0,868,632.227858
130.0,502,635.734134
125.0,395,638.888594
220.0,673,644.178604
500.0,789,649.66132
450.0,815,656.720068
330.0,808,662.559362
55.0,337,665.897797
235.0,573,670.127521
50.0,294,672.02167
435.0,971,680.167979
120.0,392,682.924974
155.0,464,686.220183
50.0,276,687.872062
85.0,379,696.507053
320.0,745,702.511676
325.0,751,708.421517
355.0,681,713.421932
120.0,460,717.665639
285.0,661,722.181067
630.0,795,728.942564
300.0,756,734.547432
380.0,590,738.675854
220.0,634,744.140532
515.0,924,750.890263
330.0,642,756.324878
325.0,715,761.378914
165.0,623,766.792393
185.0,693,771.767946
375.0,908,779.425406
345.0,786,785.20679
260.0,647,789.997849
325.0,732,795.86029
440.0,593,800.022255
585.0,779,806.843945
145.0,457,809.807844
90.0,382,812.586036
775.0,970,820.772332
145.0,453,824.080212
345.0,657,829.556821
120.0,512,833.227486
395.0,824,839.05028
305.0,658,845.038973
195.0,514,848.675698
455.0,781,855.225917
265.0,604,859.302242
665.0,837,865.54761
85.0,371,868.748562
465.0,759,874.343111
460.0,975,882.221219
345.0,691,887.245026
315.0,738,893.268803
440.0,923,899.946863
475.0,881,907.234429
245.0,549,911.170418
320.0,684,916.826562
415.0,857,923.260734
75.0,292,925.271899
120.0,391,927.580433
205.0,520,932.140156
625.0,795,937.975201
290.0,690,943.862099
340.0,681,948.381074
150.0,473,951.900063
175.0,504,956.391769
270.0,595,960.537889
295.0,638,964.901959
310.0,695,970.714422
235.0,452,973.857655
535.0,811,980.302238
140.0,380,983.032642
405.0,841,989.29894
305.0,764,995.54764
590.0,766,1001.158615
680.0,719,1007.208891
375.0,814,1013.209847
320.0,779,1019.537118
285.0,672,1024.351962
125.0,377,1031.387048
100.0,286,1033.284311
555.0,905,1039.666341
245.0,577,1044.704278
600.0,814,1050.846824
345.0,660,1055.968183
145.0,368,1058.590356
375.0,666,1063.385329
320.0,745,1069.535997
145.0,494,1072.784049
425.0,845,1078.641652
135.0,391,1082.402372
425.0,639,1086.607349
60.0,273,1088.518661
530.0,920,1095.6993
600.0,986,1102.587055
720.0,810,1109.194428
335.0,648,1113.608828
450.0,1011,1121.574239
220.0,551,1125.313401
250.0,617,1129.41274
500.0,933,1137.003722
310.0,713,1142.073214
260.0,634,1147.150881
310.0,623,1151.399405
235.0,492,1154.554484
150.0,496,1158.703815
220.0,478,1161.931542
390.0,851,1167.43566
760.0,1073,1175.777678
555.0,1010,1183.806004
475.0,895,1190.059492
235.0,500,1193.92493
500.0,737,1199.364405
575.0,1131,1208.409515
370.0,670,1213.145202
555.0,746,1219.062948
190.0,507,1223.166286
190.0,584,1227.099539
385.0,489,1230.55325
330.0,872,1237.567286
730.0,955,1244.841503
500.0,814,1250.517703
135.0,472,1253.714842
630.0,836,1260.876856
445.0,580,1264.945876
430.0,904,1272.258306
70.0,289,1273.863153
85.0,393,1276.528891
200.0,477,1279.614216
700.0,885,1286.895962
740.0,1149,1296.166469
270.0,563,1300.108386
430.0,740,1305.322881
630.0,971,1313.392863
75.0,372,1315.788275
270.0,667,1321.282197
255.0,611,1325.675203
100.0,377,1327.906852
520.0,685,1333.251163
330.0,635,1338.182559
530.0,722,1343.266941
310.0,603,1348.210428
345.0,689,1358.108881
480.0,735,1363.640535
215.0,666,1367.854447
480.0,844,1374.496555
195.0,474,1377.638928
530.0,674,1382.416186
570.0,1096,1390.616758
120.0,397,1393.208056
170.0,497,1397.406937
405.0,794,1402.650848
745.0,1081,1411.109902
340.0,706,1416.077992
440.0,789,1422.4281
520.0,953,1429.159981
275.0,798,1435.519586
355.0,778,1440.877821
270.0,624,1445.247063
505.0,969,1452.757181
195.0,484,1456.120895
650.0,760,1462.206834
335.0,829,1468.029027
310.0,625,1473.089423
580.0,1244,1481.507381
525.0,678,1486.844729
350.0,788,1492.383198
325.0,790,1498.633826
530.0,843,1504.603905
195.0,597,1509.247891
435.0,743,1514.387887
125.0,467,1517.621187
225.0,509,1521.834861
430.0,958,1529.056492
330.0,644,1533.706403
380.0,810,1539.581313
335.0,635,1544.167565
440.0,674,1549.688192
315.0,591,1553.518066
345.0,735,1558.678928
330.0,692,1563.788352
440.0,904,1569.885522
295.0,715,1575.376954
390.0,799,1580.747548
520.0,733,1586.333935
360.0,707,1591.036278
250.0,545,1594.639114
370.0,686,1600.402178
850.0,943,1606.744078
450.0,640,1612.400423
230.0,648,1616.729341
305.0,708,1622.125558
410.0,825,1628.097081
445.0,713,1632.748194
505.0,894,1639.847291
335.0,744,1645.369966
450.0,772,1651.553895
360.0,873,1657.570434
315.0,727,1663.533756
640.0,753,1668.834378
350.0,753,1679.36177
270.0,707,1684.487082
190.0,468,1688.139409
510.0,555,1691.883588
250.0,637,1696.531186
390.0,748,1702.203147
575.0,1112,1710.617206
250.0,640,1714.978524
535.0,910,1721.700238
420.0,837,1727.959256
225.0,454,1731.089428
440.0,1142,1740.226783
600.0,967,1747.466387
440.0,933,1754.425582
310.0,652,1758.61018
355.0,859,1765.510326
265.0,618,1769.789919
415.0,791,1776.048799
295.0,613,1780.040097
440.0,769,1786.366892
540.0,998,1793.313217
225.0,606,1797.804895
230.0,686,1802.946595
285.0,694,1807.640948
440.0,926,1815.034238
80.0,346,1817.146488
685.0,949,1824.851192
450.0,1060,1832.12331
340.0,748,1838.51133
550.0,1072,1846.096275
415.0,674,1851.534985
325.0,686,1856.142546
415.0,793,1862.662746
570.0,703,1867.391643
285.0,766,1872.85243
370.0,705,1878.330764
440.0,930,1884.462258
390.0,733,1890.499499
720.0,983,1897.018402
265.0,805,1903.379265
530.0,883,1909.39442
295.0,767,1915.483707
380.0,831,1920.769837
235.0,647,1926.502379
235.0,601,1930.575665
470.0,927,1937.88163
250.0,564,1941.5405
470.0,824,1947.399728
300.0,624,1952.415519
585.0,1148,1960.938987
345.0,730,1966.646081
530.0,943,1973.39746
515.0,951,1980.439527
545.0,836,1987.214567
205.0,539,1995.362023
505.0,917,2002.168931
380.0,686,2006.905725
350.0,651,2011.94665
475.0,832,2017.570989
225.0,597,2021.429287
310.0,598,2026.700928
240.0,637,2030.813594
580.0,1004,2038.821523
530.0,867,2044.606986
875.0,1401,2055.176368
805.0,901,2062.520509
460.0,904,2068.477701
225.0,603,2072.645413
380.0,855,2079.356399
255.0,602,2083.352116
380.0,868,2090.103308
575.0,1162,2098.661698
510.0,1242,2107.948889
405.0,819,2114.619174
175.0,526,2118.107423
500.0,817,2123.910857
355.0,734,2129.193643
180.0,463,2132.262487
390.0,731,2138.331872
445.0,672,2142.701957
210.0,550,2146.40604
520.0,870,2153.244523
360.0,696,2158.145435
470.0,915,2165.016165
495.0,954,2171.423763
100.0,396,2174.781043
440.0,1075,2182.215179
495.0,847,2188.884524
560.0,846,2194.956301
425.0,678,2200.306113
405.0,830,2206.104468
295.0,796,2213.106692
370.0,735,2219.026504
605.0,917,2227.439512
605.0,1133,2235.861927
